event_id,user_id,event_type,event_ts,lesson_id,platform
44039,570,streak_extended,2025-07-23T09:37:00,,web
191820,2450,lesson_started,2025-10-15T10:05:00,82.0,web
63846,843,lesson_started,2025-07-30T03:09:00,140.0,web
171913,2180,lesson_completed,2025-10-31T16:34:00,30.0,android
119915,1538,app_opened,2025-09-02T08:33:00,,ios
24796,317,lesson_started,2025-07-04T11:54:00,84.0,web
206647,2657,lesson_started,2025-10-19T06:37:00,179.0,ios
115426,1488,lesson_started,2025-09-04T22:37:00,137.0,ios
153113,1951,lesson_started,2025-09-29T22:33:00,74.0,ios
185077,2353,lesson_started,2025-10-26T19:05:00,118.0,ios
92924,1201,app_opened,2025-08-30T08:30:00,,android
179522,2285,lesson_completed,2025-10-11T13:25:00,115.0,ios
88212,1139,lesson_completed,2025-08-13T05:54:00,51.0,ios
74615,979,app_opened,2025-08-09T18:15:00,,ios
106976,1369,lesson_completed,2025-08-24T18:20:00,7.0,ios
239059,3167,signup,2025-11-02T14:34:00,,ios
214175,2764,app_opened,2025-11-05T18:21:00,,android
60286,802,lesson_started,2025-08-11T13:41:00,120.0,ios
124329,1593,streak_extended,2025-09-09T00:30:00,,android
114028,1467,lesson_started,2025-09-13T20:10:00,2.0,ios
88555,1144,lesson_started,2025-09-08T20:23:00,155.0,web
154456,1968,lesson_started,2025-09-29T04:22:00,85.0,ios
23281,293,lesson_started,2025-07-01T18:09:00,153.0,android
96204,1238,lesson_completed,2025-08-22T00:29:00,148.0,ios
233980,3066,lesson_completed,2025-11-06T16:00:00,138.0,ios
197996,2543,lesson_completed,2025-11-02T05:16:00,152.0,android
193556,2479,lesson_started,2025-10-18T13:58:00,76.0,android
213167,2747,lesson_started,2025-10-31T12:21:00,95.0,ios
142809,1820,lesson_started,2025-10-12T16:07:00,163.0,ios
173835,2206,lesson_started,2025-10-13T05:42:00,18.0,
184111,2342,lesson_started,2025-10-12T10:18:00,96.0,android
85920,1110,streak_extended,2025-08-31T14:11:00,,ios
195824,2514,lesson_started,2025-11-10T15:55:00,192.0,ios
257505,3782,app_opened,2025-11-27T07:11:00,,android
183008,2326,app_opened,2025-11-26T21:24:00,,ios
214556,2770,lesson_completed,2025-11-01T22:51:00,180.0,ios
215581,2788,app_opened,2025-11-05T16:39:00,,ios
184412,2344,lesson_completed,2025-11-01T23:44:00,117.0,ios
86611,1116,lesson_completed,2025-09-13T05:56:00,188.0,ios
137694,1757,lesson_started,2025-09-12T01:55:00,83.0,android
160858,2040,lesson_started,2025-10-01T16:56:00,4.0,android
67210,886,streak_extended,2025-08-15T12:32:00,,web
128771,1649,lesson_started,2025-09-24T08:10:00,123.0,android
236364,3121,streak_extended,2025-11-11T13:21:00,,android
32373,425,lesson_completed,2025-07-15T01:28:00,144.0,android
100794,1289,lesson_completed,2025-08-28T04:38:00,68.0,ios
163570,2078,app_opened,2025-10-03T21:17:00,,web
78939,1027,lesson_started,2025-08-21T11:17:00,66.0,ios
142938,1823,lesson_completed,2025-10-06T08:11:00,183.0,web
53032,694,app_opened,2025-07-23T05:20:00,,ios
117761,1516,lesson_completed,2025-09-13T16:53:00,45.0,ios
251719,3500,lesson_started,2025-11-24T11:27:00,17.0,ios
38398,495,lesson_started,2025-07-17T21:24:00,182.0,web
191795,2450,lesson_completed,2025-10-19T09:50:00,194.0,ios
118596,1523,streak_extended,2025-09-28T13:13:00,,ios
172027,2182,lesson_completed,2025-09-28T02:16:00,187.0,ios
54729,723,lesson_completed,2025-08-07T18:48:00,153.0,ios
223719,2901,lesson_started,2025-10-24T18:31:00,136.0,android
164158,2087,lesson_completed,2025-09-21T17:27:00,82.0,ios
138319,1767,lesson_started,2025-09-22T12:35:00,74.0,android
32698,429,lesson_completed,2025-07-13T08:27:00,5.0,android
151163,1927,app_opened,2025-10-05T15:03:00,,web
22050,281,lesson_completed,2025-06-27T21:32:00,147.0,web
54783,725,lesson_completed,2025-07-21T17:04:00,69.0,android
120457,1546,lesson_started,2025-09-06T09:25:00,152.0,ios
233199,3049,lesson_started,2025-11-03T16:36:00,89.0,web
49050,636,lesson_completed,2025-08-09T06:17:00,120.0,ios
36353,465,lesson_started,2025-08-02T13:21:00,72.0,android
14165,178,lesson_started,2025-06-27T14:47:00,194.0,android
217528,2811,lesson_started,2025-11-11T08:15:00,139.0,android
246266,3330,lesson_started,2025-11-07T06:32:00,45.0,ios
53312,697,lesson_completed,2025-07-24T19:54:00,157.0,android
179206,2281,app_opened,2025-10-13T12:11:00,,ios
214027,2761,streak_extended,2025-11-09T22:49:00,,web
11017,137,lesson_completed,2025-06-11T21:48:00,84.0,ios
33525,436,lesson_started,2025-07-24T23:29:00,100.0,ios
40450,523,lesson_completed,2025-07-26T06:35:00,10.0,ios
58059,772,lesson_completed,2025-08-06T15:11:00,121.0,web
218157,2821,streak_extended,2025-10-20T18:20:00,,android
63124,838,app_opened,2025-07-31T22:48:00,,android
68307,901,app_opened,2025-08-02T09:35:00,,ios
179806,2287,lesson_completed,2025-10-04T21:52:00,192.0,android
249877,3437,lesson_completed,2025-11-11T19:54:00,194.0,web
170038,2159,lesson_completed,2025-10-10T12:10:00,84.0,android
16928,214,lesson_started,2025-06-27T08:49:00,110.0,ios
247175,3357,app_opened,2025-11-15T14:43:00,,android
63402,840,lesson_started,2025-07-30T05:16:00,27.0,ios
256505,3713,streak_extended,2025-11-28T02:30:00,,web
113079,1456,lesson_started,2025-08-31T04:21:00,184.0,android
113094,1456,lesson_started,2025-08-28T03:19:00,69.0,web
112050,1441,lesson_completed,2025-09-27T10:08:00,177.0,ios
614,7,streak_extended,2025-06-01T18:42:00,,android
